Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Currency (Result),Total,Currency (Total),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Deposit,2026-01-03 15:31:35,,,,"Transaction ID: 47c43696-d515-4e28-b829-5a5cb72f5f5c",e300ab2c-2a63-4b26-a8e9-074c573d68a7,,,,,,500.00,"GBP",,
Market buy,2026-01-05 08:00:39,GB00B2QPKJ12,FRES,"Fresnillo",,EOF44399974076,2.8608395600,3478.0000000000,GBX,100.00000000,"GBP",100.00,"GBP",0.50,"GBP"
Market buy,2026-01-06 08:00:34,JE00B4T3BW64,GLEN,"Glencore",,EOF44500414389,11.7660901200,424.9500000000,GBX,100.00000000,"GBP",50.00,"GBP",,
Limit buy,2026-01-07 15:01:11,GB00BM8PJY71,NWG,"NatWest",,EOF44555166930,10.0000000000,635.0000000000,GBX,100.00000000,"GBP",63.82,"GBP",0.32,"GBP"
Limit buy,2026-01-08 08:21:36,GB0007188757,RIO,"Rio Tinto",,EOF44600259487,1.0000000000,6200.0000000000,GBX,100.00000000,"GBP",62.31,"GBP",0.31,"GBP"
Limit buy,2026-01-14 10:43:37,GB00B63H8491,RR,"Rolls-Royce",,EOF44900685521,5.0000000000,1292.0000000000,GBX,100.00000000,"GBP",64.92,"GBP",0.32,"GBP"
Limit buy,2026-01-15 08:01:36,GB00B2QPKJ12,FRES,"Fresnillo",,EOF44912169636,1.0000000000,3646.0000000000,GBX,100.00000000,"GBP",36.64,"GBP",0.18,"GBP"
